Strain,Mutations,Number/ID,Levo Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,3:29,F2,0.194
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,3:29,F3,0.113
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,3:29,G2,0.189
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,3:29,G3,0.109
BL21,wt,JOE2354,0 ng/mL,22-Nov,3:29,H2,0.183
BL21,Δ7,JOE6969,0 ng/mL,22-Nov,3:29,H3,0.111
BL21,wt,JOE2354,2.5 ng/mL,2-Dec,3:29,B2,0.21
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,3:29,B3,0.121
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,3:29,C2,0.211
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,3:29,C3,0.124
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,3:29,D2,0.211
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,3:29,D3,0.124
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,3:29,E2,0.207
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,3:29,E3,0.124
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,3:29,F2,0.206
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,3:29,F3,0.122
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,3:29,G2,0.201
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,3:29,G3,0.123
BL21,wt,JOE2354,0 ng/mL,2-Dec,3:29,H2,0.192
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,3:29,H3,0.122
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,3:59,C2,0.279
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,3:59,C3,0.14
BL21,wt,JOE2354,1.25 ng/mL,44882,3:59,D2,0.29
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,3:59,D3,0.148
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,3:59,E2,0.295
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,3:59,E3,0.15
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,3:59,F2,0.303
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,3:59,F3,0.149
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,3:59,G2,0.302
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,3:59,G3,0.146
BL21,wt,JOE2354,0 ng/mL,17-Nov,3:59,H2,0.289
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,3:59,H3,0.14
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,3:59,B2,0.251
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,3:59,B3,0.121
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,3:59,C2,0.263
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,3:59,C3,0.127
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,3:59,D2,0.267
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,3:59,D3,0.129
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,3:59,E2,0.276
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,3:59,E3,0.128
