Strain,Mutations,Number/ID,Nor Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,wt,JOE2354,5 ng/mL,6-Sep,3:59,E2,0.283
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,3:59,E3,0.145
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,3:59,F2,0.299
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,3:59,F3,0.143
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,3:59,G2,0.301
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,3:59,G3,0.137
BL21,wt,JOE2354,0 ng/mL,6-Sep,3:59,H2,0.301
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,3:59,H3,0.137
BL21,wt,JOE2354,5 ng/mL,20-Sep,3:59,F2,0.304
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,3:59,F3,0.163
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,3:59,G2,0.353
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,3:59,G3,0.154
BL21,wt,JOE2354,0 ng/mL,20-Sep,3:59,H2,0.387
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,3:59,H3,0.151
BL21,wt,JOE2354,5 ng/mL,25-Aug,4:29,F2,0.274
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,4:29,F3,0.158
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,4:29,G2,0.304
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,4:29,G3,0.156
BL21,wt,JOE2354,0 ng/mL,25-Aug,4:29,H2,0.325
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,4:29,H3,0.153
BL21,wt,JOE2354,5 ng/mL,1-Sep,4:29,E2,0.301
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,4:29,E3,0.241
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,4:29,F2,0.39
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,4:29,F3,0.246
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,4:29,G2,0.421
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,4:29,G3,0.24
BL21,wt,JOE2354,0 ng/mL,1-Sep,4:29,H2,0.429
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,4:29,H3,0.238
BL21,wt,JOE2354,5 ng/mL,6-Sep,4:29,E2,0.285
