Strain,Mutations,Number/ID,Tet Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,wt,JOE2354,0 ng/mL,9/13/2022,9:59,H2,1.098
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,9:59,H3,0.838
BL21,wt,JOE2354,156 ng/mL,7/25/2022,10:29,E2,0.166
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,10:29,E3,0.112
BL21,wt,JOE2354,78 ng/mL,7/25/2022,10:29,F2,0.64
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,10:29,F3,0.148
BL21,wt,JOE2354,0 ng/mL,7/25/2022,10:29,H2,1.15
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,10:29,H3,0.972
BL21,wt,JOE2354,156 ng/mL,9/13/2022,10:29,E2,0.201
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,10:29,E3,0.099
BL21,wt,JOE2354,78 ng/mL,9/13/2022,10:29,F2,0.712
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,10:29,F3,0.12
BL21,wt,JOE2354,0 ng/mL,9/13/2022,10:29,H2,1.119
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,10:29,H3,0.877
BL21,wt,JOE2354,156 ng/mL,7/25/2022,10:59,E2,0.18
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,10:59,E3,0.107
BL21,wt,JOE2354,78 ng/mL,7/25/2022,10:59,F2,0.726
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,10:59,F3,0.16
BL21,wt,JOE2354,0 ng/mL,7/25/2022,10:59,H2,1.159
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,10:59,H3,1.011
BL21,wt,JOE2354,156 ng/mL,9/13/2022,10:59,E2,0.22
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,10:59,E3,0.099
BL21,wt,JOE2354,78 ng/mL,9/13/2022,10:59,F2,0.75
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,10:59,F3,0.126
BL21,wt,JOE2354,0 ng/mL,9/13/2022,10:59,H2,1.131
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,10:59,H3,0.924
BL21,wt,JOE2354,156 ng/mL,7/25/2022,11:29,E2,0.195
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,11:29,E3,0.108
BL21,wt,JOE2354,78 ng/mL,7/25/2022,11:29,F2,0.761
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,11:29,F3,0.174
BL21,wt,JOE2354,0 ng/mL,7/25/2022,11:29,H2,1.167
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,11:29,H3,1.039
BL21,wt,JOE2354,156 ng/mL,9/13/2022,11:29,E2,0.243
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,11:29,E3,0.1
BL21,wt,JOE2354,78 ng/mL,9/13/2022,11:29,F2,0.784
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,11:29,F3,0.132
BL21,wt,JOE2354,0 ng/mL,9/13/2022,11:29,H2,1.142
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,11:29,H3,0.968
BL21,wt,JOE2354,156 ng/mL,7/25/2022,11:59,E2,0.212
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,11:59,E3,0.11
BL21,wt,JOE2354,78 ng/mL,7/25/2022,11:59,F2,0.795
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,11:59,F3,0.19
BL21,wt,JOE2354,0 ng/mL,7/25/2022,11:59,H2,1.175
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,11:59,H3,1.059
BL21,wt,JOE2354,156 ng/mL,9/13/2022,11:59,E2,0.267
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,11:59,E3,0.1
BL21,wt,JOE2354,78 ng/mL,9/13/2022,11:59,F2,0.826
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,11:59,F3,0.14
BL21,wt,JOE2354,0 ng/mL,9/13/2022,11:59,H2,1.151
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,11:59,H3,0.995
BL21,wt,JOE2354,156 ng/mL,7/25/2022,12:29,E2,0.232
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,12:29,E3,0.113
BL21,wt,JOE2354,78 ng/mL,7/25/2022,12:29,F2,0.827
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,12:29,F3,0.213
BL21,wt,JOE2354,0 ng/mL,7/25/2022,12:29,H2,1.182
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,12:29,H3,1.076
BL21,wt,JOE2354,156 ng/mL,9/13/2022,12:29,E2,0.297
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,12:29,E3,0.101
BL21,wt,JOE2354,78 ng/mL,9/13/2022,12:29,F2,0.861
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,12:29,F3,0.15
BL21,wt,JOE2354,0 ng/mL,9/13/2022,12:29,H2,1.157
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,12:29,H3,1.014
BL21,wt,JOE2354,156 ng/mL,7/25/2022,12:59,E2,0.254
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,12:59,E3,0.113
BL21,wt,JOE2354,78 ng/mL,7/25/2022,12:59,F2,0.857
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,12:59,F3,0.24
BL21,wt,JOE2354,0 ng/mL,7/25/2022,12:59,H2,1.19
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,12:59,H3,1.095
BL21,wt,JOE2354,156 ng/mL,9/13/2022,12:59,E2,0.336
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,12:59,E3,0.102
BL21,wt,JOE2354,78 ng/mL,9/13/2022,12:59,F2,0.885
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,12:59,F3,0.163
